#,initial amount,DigiKey,Ref,QR,unit,sub
Y2017M4-104,25,CP1-2533SJCT-ND,CONN JACK STEREO 3PIN 2.5MM SMD-,https://www.digikey.com/products/en?keywords=CP1-2533SJCT-ND,0.88,$21.95 
Y2017M4-105,10,CP-1453-ND,CONN RCA PLUG W-STRAIN REL BLK,https://www.digikey.com/products/en?keywords=CP-1453-ND,1.41,$14.10 
Y2017M4-106,10,CP-1459-1-ND,CONN RCA JACK METAL R/A BLK SMD,https://www.digikey.com/products/en?keywords=CP-1459-1-ND,1.12,$11.18 
Y2017M4-107,10,SC1323-ND,CONN JACK PHONO 2POS SHIELDED-,https://www.digikey.com/products/en?keywords=SC1323-ND,3,$30.00 
Y2017M4-108,50,ED1122-ND,CONN PIN SPRING-LOADED PCB,https://www.digikey.com/products/en?keywords=ED1122-ND,0.58,$28.77 
Y2017M4-109,1,,CABLE 10 COND 300' MULTI RIBBON,https://www.digikey.com/products/en?keywords=,125.45,$125.45 
Y2017M4-110,30,ED1514-ND,TERMINAL BLOCK 3.5MM 2POS PCB-,https://www.digikey.com/products/en?keywords=ED1514-ND,0.46,$13.89 
Y2017M4-111,30,ED1515-ND,TERMINAL BLOCK 3.5MM 3POS PCB-,https://www.digikey.com/products/en?keywords=ED1515-ND,0.67,$19.98 
Y2017M4-112,5,A116B-4-ND,HEATSHRINK 1-16 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A116B-4-ND,0.76,$3.80 
Y2017M4-113,5,A018B-4-ND,HEATSHRINK 1-8 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A018B-4-ND,0.86,$4.30 
Y2017M4-114,5,A014B-4-ND,HEATSHRINK 1-4 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A014B-4-ND,1.32,$6.60 
Y2017M4-115,5,A038B-4-ND,HEATSHRINK 3-8 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A038B-4-ND,1.46,$7.30 
Y2017M4-116,5,A012B-4-ND,HEATSHRINK 1-2 IN X 4FT BLACK,https://www.digikey.com/products/en?keywords=A012B-4-ND,1.66,$8.30 
Y2017M4-117,20,BS6I-MC-ND,9V BATTERY SNAP WITH 2PC MOLDED-,https://www.digikey.com/products/en?keywords=BS6I-MC-ND,0.52,$10.40 
Y2017M4-118,20,BH9V-W-ND,HOLDER BATTERY 9V WIRE LEADS-,https://www.digikey.com/products/en?keywords=BH9V-W-ND,1.27,$25.30 
Y2017M4-119,20,55K-ND,CLIP BATTERY AAA-N CELL SMT,https://www.digikey.com/products/en?keywords=55K-ND,0.28,$5.63 
Y2017M4-120,15,768-1007-1-ND,IC USB TO SERIAL UART 28-SSOP-,https://www.digikey.com/products/en?keywords=768-1007-1-ND,4.05,$60.75 
Y2017M4-121,3,768-1028-ND,CABLE USB TO TTL SERIAL CONV,https://www.digikey.com/products/en?keywords=768-1028-ND,20,$60.00 
Y2017M4-122,3,768-1015-ND,CABLE USB - SERIAL TTL CONVERTER-,https://www.digikey.com/products/en?keywords=768-1015-ND,20,$60.00 
Y2017M4-123,50,"670-2674-1-ND
","RCPT MICRO USB 2.0 B SMT H/D
","https://www.digikey.com/products/en?keywords=670-2674-1-ND
",0.62,$31.19 
Y2017M4-124,50,H2961CT-ND,CONN RECEPT MINI USB2.0 5POS,https://www.digikey.com/products/en?keywords=H2961CT-ND,0.74,$37.13 
Y2017M4-125,5,1528-1154-ND,"M/M Jumper Wires 6"" (40pcs)",https://www.digikey.com/products/en?keywords=1528-1154-ND,3.95,$19.75 
Y2017M4-126,5,1528-1162-ND,"M/F Jumper Wires 6"" (40pcs)",https://www.digikey.com/products/en?keywords=1528-1162-ND,3.95,$19.75 
Y2017M4-127,5,1528-1379-ND,"F/F Jumper Wires 6"" (40pcs)",https://www.digikey.com/products/en?keywords=1528-1379-ND,3.95,$19.75 
Y2017M4-128,5,A105063-ND,CONN FFC VERT 5POS 2.54MM PCB,https://www.digikey.com/products/en?keywords=A105063-ND,0.6,$3.00 
Y2017M4-129,5,609-2179-ND,CONN FFC HEADER 5POS 2.54MM,https://www.digikey.com/products/en?keywords=609-2179-ND,1.45,$7.25 
Y2017M4-130,1,367-1099-ND,"LEAD TEST ALLIG CLIP 24"" SET/10",https://www.digikey.com/products/en?keywords=367-1099-ND,10.35,$10.35 
Y2017M4-131,6,296-1600-5-ND,Shift Register,https://www.digikey.com/products/en?keywords=296-1600-5-ND,0.58,$3.48 
,,,,,,
,,,,,,
